Academic license - for non-commercial use only
DATFILE : offices1_2r_250.dat
ENVIRONMENT : office
ALGORITHM : KUMAR2
RANGE : _250
STARTING_POS : 42
N_ROBOTS : 2
KUMAR2 sumD : 3626.0
CONFIGURATIONS :
42 42 
5 42 
24 42 
4 42 
3 42 
3 41 
3 36 
3 35 
3 34 
3 33 
3 32 
24 32 
4 32 
4 33 
24 33 
5 33 
5 34 
24 34 
4 34 
4 35 
24 35 
5 35 
5 36 
24 36 
4 36 
4 41 
24 41 
5 41 
5 24 
5 4 
24 4 
3 4 
3 24 
3 5 
23 5 
2 5 
2 24 
2 4 
23 4 
1 4 
1 24 
23 24 
26 24 
26 4 
39 4 
39 24 
39 5 
40 5 
40 24 
40 4 
40 3 
39 3 
38 3 
26 3 
27 3 
31 3 
31 23 
27 23 
32 23 
32 2 
33 2 
33 23 
33 1 
32 1 
27 1 
31 1 
30 1 
29 1 
28 1 
28 0 
29 0 
30 0 
31 0 
27 0 
32 0 
26 0 
39 0 
23 0 
1 0 
1 25 
0 25 
0 43 
0 37 
0 38 
25 38 
25 37 
25 43 
1 43 
1 37 
1 38 
1 26 
1 39 
1 23 
1 2 
23 2 
3 2 
3 23 
3 1 
3 0 
2 0 
2 25 
23 25 
26 25 
27 25 
31 25 
30 25 
29 25 
28 25 
17 25 
17 43 
17 37 
17 38 
17 26 
17 27 
17 31 
17 30 
17 29 
17 28 
17 19 
17 6 
17 22 
17 7 
19 7 
19 22 
19 15 
17 15 
28 15 
43 15 
37 15 
38 15 
26 15 
39 15 
39 14 
26 14 
26 13 
38 13 
23 13 
39 13 
40 13 
36 13 
35 13 
34 13 
33 13 
32 13 
27 13 
31 13 
30 13 
29 13 
17 13 
17 14 
29 14 
30 14 
31 14 
27 14 
32 14 
35 14 
34 14 
33 14 
33 15 
32 15 
27 15 
31 15 
30 15 
29 15 
29 22 
30 22 
31 22 
27 22 
27 21 
32 21 
33 21 
34 20 
35 20 
36 20 
18 20 
18 12 
18 9 
20 9 
12 9 
12 20 
12 8 
12 21 
20 21 
20 8 
9 8 
9 21 
9 11 
20 11 
12 11 
12 10 
20 10 
21 10 
8 10 
8 21 
8 11 
21 11 
10 11 
22 11 
7 11 
7 10 
22 10 
6 10 
6 22 
6 7 
22 7 
15 7 
15 22 
15 6 
15 16 
13 16 
14 16 
14 6 
14 7 
14 22 
14 15 
14 13 
15 13 
22 13 
10 13 
11 13 
21 13 
8 13 
20 13 
12 13 
12 14 
20 14 
9 14 
8 14 
21 14 
11 14 
10 14 
10 15 
11 15 
21 15 
8 15 
8 22 
8 7 
21 7 
21 22 
21 6 
11 6 
11 16 
10 16 
22 16 
7 16 
6 16 
6 19 
16 19 
16 17 
16 28 
16 29 
16 30 
16 27 
16 31 
19 31 
19 30 
19 29 
19 28 
19 43 
19 37 
43 37 
43 38 
37 38 
37 39 
37 26 
43 26 
43 23 
37 23 
37 2 
38 2 
38 23 
26 23 
26 2 
27 2 
31 2 
30 2 
30 23 
30 26 
29 26 
29 38 
30 38 
31 38 
27 38 
26 38 
39 38 
39 26 
39 23 
39 2 
40 2 
40 23 
40 39 
40 26 
40 27 
40 32 
40 33 
41 33 
41 34 
42 34 
42 35 
42 36 
41 36 
41 35 
36 35 
36 34 
35 34 
35 33 
34 33 
34 32 
34 27 
34 31 
33 31 
33 30 
33 29 
27 29 
32 29 
32 28 
27 28 
31 28 
29 28 
30 28 
30 29 
31 29 
31 30 
27 30 
32 30 
32 31 
27 31 
26 31 
26 27 
26 32 
27 32 
33 32 
33 27 
33 26 
33 39 
32 39 
27 39 
31 39 
30 39 
29 39 
29 23 
28 23 
28 26 
28 38 
28 37 
28 43 
29 43 
29 37 
30 37 
30 43 
31 43 
31 37 
27 37 
32 37 
32 38 
33 38 
34 38 
34 26 
34 23 
34 2 
35 2 
35 23 
35 26 
35 27 
35 32 
36 32 
36 33 
18 33 
18 34 
18 35 
18 36 
18 41 
18 40 
36 40 
35 40 
34 40 
34 39 
35 39 
36 39 
41 39 
41 40 
42 40 
42 41 
42 42 
;

TIMETABLE : 
0 0 
18.0 0.0 
26.0 0.0 
33.0 0.0 
47.0 0.0 
47.0 10.0 
47.0 19.0 
47.0 29.0 
47.0 37.0 
47.0 46.0 
47.0 55.0 
60.0 55.0 
67.0 55.0 
67.0 64.0 
74.0 64.0 
82.0 64.0 
82.0 73.0 
90.0 73.0 
97.0 73.0 
97.0 81.0 
104.0 81.0 
112.0 81.0 
112.0 91.0 
120.0 91.0 
127.0 91.0 
127.0 100.0 
134.0 100.0 
142.0 100.0 
142.0 116.0 
142.0 123.0 
150.0 123.0 
163.0 123.0 
163.0 130.0 
163.0 138.0 
176.0 138.0 
183.0 138.0 
183.0 146.0 
183.0 153.0 
190.0 153.0 
200.0 153.0 
200.0 160.0 
210.0 160.0 
218.0 160.0 
218.0 167.0 
226.0 167.0 
226.0 174.0 
226.0 182.0 
237.0 182.0 
237.0 190.0 
237.0 197.0 
237.0 211.0 
248.0 211.0 
260.0 211.0 
268.0 211.0 
275.0 211.0 
282.0 211.0 
282.0 224.0 
289.0 224.0 
295.0 224.0 
295.0 231.0 
304.0 231.0 
304.0 238.0 
304.0 248.0 
313.0 248.0 
319.0 248.0 
326.0 248.0 
334.0 248.0 
342.0 248.0 
351.0 248.0 
351.0 262.0 
360.0 262.0 
368.0 262.0 
376.0 262.0 
383.0 262.0 
389.0 262.0 
402.0 262.0 
410.0 262.0 
420.0 262.0 
430.0 262.0 
430.0 272.0 
444.0 272.0 
444.0 283.0 
444.0 289.0 
444.0 298.0 
454.0 298.0 
454.0 307.0 
454.0 313.0 
470.0 313.0 
470.0 319.0 
470.0 328.0 
470.0 336.0 
470.0 344.0 
470.0 354.0 
470.0 361.0 
480.0 361.0 
493.0 361.0 
493.0 368.0 
493.0 378.0 
493.0 392.0 
507.0 392.0 
507.0 402.0 
514.0 402.0 
522.0 402.0 
529.0 402.0 
536.0 402.0 
544.0 402.0 
552.0 402.0 
561.0 402.0 
571.0 402.0 
571.0 413.0 
571.0 419.0 
571.0 428.0 
571.0 436.0 
571.0 443.0 
571.0 450.0 
571.0 458.0 
571.0 466.0 
571.0 475.0 
571.0 489.0 
571.0 509.0 
571.0 521.0 
571.0 527.0 
583.0 527.0 
583.0 533.0 
583.0 546.0 
595.0 546.0 
605.0 546.0 
619.0 546.0 
625.0 546.0 
634.0 546.0 
642.0 546.0 
650.0 546.0 
650.0 560.0 
658.0 560.0 
658.0 578.0 
666.0 578.0 
678.0 578.0 
688.0 578.0 
699.0 578.0 
715.0 578.0 
725.0 578.0 
733.0 578.0 
742.0 578.0 
751.0 578.0 
757.0 578.0 
764.0 578.0 
772.0 578.0 
780.0 578.0 
795.0 578.0 
795.0 596.0 
810.0 596.0 
818.0 596.0 
826.0 596.0 
833.0 596.0 
839.0 596.0 
857.0 596.0 
865.0 596.0 
874.0 596.0 
874.0 610.0 
883.0 610.0 
889.0 610.0 
896.0 610.0 
904.0 610.0 
912.0 610.0 
912.0 623.0 
920.0 623.0 
928.0 623.0 
935.0 623.0 
935.0 639.0 
941.0 639.0 
950.0 639.0 
959.0 652.0 
967.0 652.0 
977.0 652.0 
995.0 652.0 
995.0 662.0 
995.0 679.0 
1014.0 679.0 
1024.0 679.0 
1024.0 688.0 
1024.0 702.0 
1024.0 709.0 
1034.0 709.0 
1034.0 716.0 
1043.0 716.0 
1043.0 723.0 
1043.0 733.0 
1052.0 733.0 
1062.0 733.0 
1062.0 746.0 
1072.0 746.0 
1085.0 746.0 
1092.0 746.0 
1092.0 759.0 
1092.0 769.0 
1099.0 769.0 
1112.0 769.0 
1125.0 769.0 
1131.0 769.0 
1131.0 782.0 
1137.0 782.0 
1149.0 782.0 
1149.0 795.0 
1149.0 801.0 
1161.0 801.0 
1174.0 801.0 
1174.0 807.0 
1174.0 819.0 
1174.0 833.0 
1188.0 833.0 
1206.0 833.0 
1206.0 847.0 
1206.0 861.0 
1206.0 867.0 
1206.0 880.0 
1206.0 894.0 
1220.0 894.0 
1233.0 894.0 
1246.0 894.0 
1259.0 894.0 
1269.0 894.0 
1276.0 894.0 
1290.0 894.0 
1300.0 894.0 
1300.0 912.0 
1310.0 912.0 
1319.0 912.0 
1340.0 912.0 
1347.0 912.0 
1357.0 912.0 
1370.0 912.0 
1370.0 926.0 
1383.0 926.0 
1393.0 926.0 
1400.0 926.0 
1400.0 939.0 
1400.0 945.0 
1407.0 945.0 
1407.0 951.0 
1407.0 963.0 
1417.0 963.0 
1417.0 977.0 
1430.0 977.0 
1443.0 977.0 
1449.0 977.0 
1463.0 977.0 
1463.0 991.0 
1477.0 991.0 
1477.0 1003.0 
1477.0 1013.0 
1477.0 1022.0 
1477.0 1030.0 
1477.0 1041.0 
1477.0 1048.0 
1491.0 1048.0 
1491.0 1056.0 
1491.0 1064.0 
1491.0 1073.0 
1491.0 1087.0 
1491.0 1093.0 
1509.0 1093.0 
1509.0 1102.0 
1515.0 1102.0 
1515.0 1114.0 
1515.0 1122.0 
1521.0 1122.0 
1521.0 1130.0 
1527.0 1130.0 
1527.0 1137.0 
1536.0 1137.0 
1536.0 1144.0 
1544.0 1144.0 
1544.0 1151.0 
1551.0 1151.0 
1558.0 1151.0 
1566.0 1151.0 
1566.0 1158.0 
1566.0 1166.0 
1574.0 1166.0 
1574.0 1174.0 
1582.0 1174.0 
1590.0 1174.0 
1597.0 1174.0 
1604.0 1174.0 
1612.0 1174.0 
1612.0 1182.0 
1612.0 1190.0 
1612.0 1197.0 
1623.0 1197.0 
1623.0 1204.0 
1623.0 1214.0 
1623.0 1222.0 
1623.0 1229.0 
1623.0 1235.0 
1623.0 1244.0 
1634.0 1244.0 
1634.0 1253.0 
1644.0 1253.0 
1644.0 1261.0 
1644.0 1271.0 
1654.0 1271.0 
1654.0 1281.0 
1663.0 1281.0 
1663.0 1289.0 
1673.0 1289.0 
1673.0 1298.0 
1681.0 1298.0 
1681.0 1307.0 
1681.0 1313.0 
1681.0 1320.0 
1690.0 1320.0 
1690.0 1328.0 
1690.0 1336.0 
1701.0 1336.0 
1707.0 1336.0 
1707.0 1345.0 
1713.0 1345.0 
1720.0 1345.0 
1732.0 1345.0 
1740.0 1345.0 
1740.0 1354.0 
1748.0 1354.0 
1748.0 1362.0 
1755.0 1362.0 
1761.0 1362.0 
1761.0 1370.0 
1767.0 1370.0 
